p, k10_E[n], k10_P_loss, k25_E[n], k25_P_loss, k50_E[n], k50_P_loss
0.5, 1.464, 0.104, 1.470, 0.000, 1.490, 0.000
0.6, 2.237, 0.459, 2.367, 0.002, 2.332, 0.000
0.7, 3.282, 1.660, 3.811, 0.014, 3.871, 0.000
0.8, 4.521, 4.194, 6.617, 0.257, 6.951, 0.005
0.9, 5.733, 8.068, 11.602, 2.009, 15.206, 0.206
1.0, 6.807, 13.028, 16.428, 6.394, 32.259, 3.419
1.1, 7.659, 18.301, 19.974, 12.763, 43.032, 10.742
1.2, 8.318, 23.736, 21.940, 19.132, 46.370, 17.757
1.3, 8.786, 28.591, 23.068, 25.213, 47.839, 24.182
1.4, 9.132, 33.054, 23.702, 30.415, 48.517, 29.555
1.5, 9.414, 37.200, 24.119, 34.765, 49.007, 33.986
