p, k10_E[n], k10_P_loss, k25_E[n], k25_P_loss, k50_E[n], k50_P_loss
0.5, 1.481, 0.118, 1.485, 0.000, 1.486, 0.000
0.6, 2.245, 0.502, 2.350, 0.000, 2.331, 0.000
0.7, 3.291, 1.705, 3.860, 0.023, 3.875, 0.000
0.8, 4.520, 4.220, 6.651, 0.256, 6.882, 0.001
0.9, 5.705, 8.052, 11.249, 1.734, 15.768, 0.293
1.0, 6.781, 12.919, 16.488, 6.373, 32.630, 3.324
1.1, 7.685, 18.630, 19.989, 12.961, 42.971, 10.751
1.2, 8.304, 23.580, 21.973, 19.134, 46.376, 17.786
1.3, 8.766, 28.543, 23.084, 25.135, 47.792, 24.117
1.4, 9.142, 33.071, 23.690, 30.337, 48.516, 29.350
1.5, 9.403, 37.142, 24.103, 35.068, 48.994, 33.928
