k,k10_p,k10_En,k25_p,k25_En,k50_p,k50_En
10,0.4,0.01,0.4,0,0.4,0
10,0.5,0.102,0.5,0,0.5,0
10,0.6,0.504,0.6,0.001,0.6,0
10,0.7,1.707,0.7,0.01,0.7,0
10,0.8,4.103,0.8,0.272,0.8,0
10,0.9,8.216,0.9,1.909,0.9,0.252
10,1,13.057,1,6.595,1,3.251
10,1.1,18.384,1.1,12.616,1.1,10.67
10,1.2,23.823,1.2,19.058,1.2,17.645
10,1.3,28.593,1.3,25.04,1.3,24.148
10,1.4,32.955,1.4,30.138,1.4,29.638
10,1.5,37.178,1.5,34.869,1.5,34.186
10,1.6,40.644,1.6,38.851,1.6,38.25
10,1.7,43.887,1.7,42.305,1.7,41.798
10,1.8,46.832,1.8,45.529,1.8,45.102
10,1.9,49.387,1.9,48.235,1.9,47.864
10,2,51.919,2,50.766,2,50.42
10,2.2,56.144,2.2,55.294,2.2,54.858
10,2.4,59.667,2.4,58.935,2.4,58.61
10,2.6,62.599,2.6,62.032,2.6,61.738
10,2.8,65.22,2.8,64.643,2.8,64.576
10,3,67.537,3,66.932,3,66.912
10,3.2,69.546,3.2,69.114,3.2,68.891
10,3.4,71.29,3.4,70.888,3.4,70.67
10,3.6,72.845,3.6,72.535,3.6,72.376
10,3.8,74.166,3.8,73.892,3.8,73.738
10,4,75.428,4,75.218,4,75.11
10,4.2,76.607,4.2,76.348,4.2,76.242
10,4.4,77.691,4.4,77.443,4.4,77.336
10,4.6,78.628,4.6,78.388,4.6,78.337
10,4.8,79.468,4.8,79.352,4.8,79.236
10,5,80.308,5,80.099,5,80.045
10,5.4,81.762,5.4,81.578,5.4,81.531
10,5.8,82.995,5.8,82.845,5.8,82.746
10,6.2,84.128,6.2,83.946,6.2,83.885
10,6.6,85.042,6.6,84.92,6.6,84.867
10,7,85.835,7,85.775,7,85.746
10,7.4,86.627,7.4,86.555,7.4,86.561
10,7.8,87.306,7.8,87.212,7.8,87.229
10,8.2,87.93,8.2,87.838,8.2,87.826
10,8.6,88.465,8.6,88.425,8.6,88.398
10,9,88.973,9,88.926,9,88.899
10,9.4,89.46,9.4,89.411,9.4,89.412
10,9.8,89.883,9.8,89.851,9.8,89.827
